seq,time_seconds,event_type,robot_name,message,data_json
1,0.0,run_started,,Started run_001_seed_124_20260331_135521,"{""auto_policy"": ""weighted_coverage"", ""mission_mode"": ""manual_click"", ""seed"": 124}"
2,0.0,mission_mode_changed,,Mission mode set to auto explore,
3,0.0,auto_mode_toggled,,Simulation started,"{""auto_mode"": true}"
4,0.05,goal_assigned,Drone 1,"Assigned coverage-centroid goal at (25.50, 8.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 25.5, ""goal_y"": 8.5, ""score"": null}"
5,0.05,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 4.675}"
6,0.05,goal_assigned,Drone 2,"Assigned coverage-centroid goal at (20.50, 10.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 20.5, ""goal_y"": 10.5, ""score"": null}"
7,0.05,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 5.508}"
8,0.05,goal_assigned,Drone 3,"Assigned coverage-centroid goal at (19.50, 10.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 19.5, ""goal_y"": 10.5, ""score"": null}"
9,0.05,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 5.508}"
10,0.05,goal_assigned,Drone 4,"Assigned coverage-centroid goal at (15.50, 8.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 15.5, ""goal_y"": 8.5, ""score"": null}"
11,0.05,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.082}"
12,0.1,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 5.482}"
13,0.1,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.111}"
14,0.2,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 5.36}"
15,0.2,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.045}"
16,0.75,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 4.81}"
17,1.05,goal_assigned,Drone 1,"Assigned coverage-centroid goal at (23.50, 7.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 23.5, ""goal_y"": 7.5, ""score"": null}"
18,1.05,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 1.806}"
19,1.1,goal_assigned,Drone 3,"Assigned coverage-centroid goal at (18.50, 10.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 18.5, ""goal_y"": 10.5, ""score"": null}"
20,1.1,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 4.59}"
21,1.2,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 2.993}"
22,1.45,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 4.146}"
23,1.95,goal_reached,Drone 1,"Reached coverage-centroid at (23.50, 7.50)",
24,2.0,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (29.50, 11.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 29.5, ""goal_y"": 11.5, ""score"": 11.8927}"
