time_s,map_known_pct,free_space_covered_pct,obstacle_cells_found_pct,known_cells,covered_free_cells,mapped_obstacle_cells,frontier_groups,active_goals,running,auto_finished,selected_robot,auto_policy,mission_mode
0.0,10.75,1.546,27.611,172,16,156,1,0,0,0,Drone 1,weighted_coverage,manual_click
0.0,10.75,1.546,27.611,172,16,156,1,0,0,0,Drone 1,weighted_coverage,auto_explore
0.55,20.938,11.884,32.566,335,123,184,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.05,21.375,12.077,33.451,342,125,189,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.55,22.688,13.43,34.336,363,139,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.05,23.188,14.106,34.336,371,146,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.6,23.812,15.072,34.336,381,156,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.15,24.688,16.135,34.336,395,167,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.7,26.937,19.42,34.336,431,201,194,4,4,1,0,Drone 1,weighted_coverage,auto_explore
4.25,28.813,21.932,34.336,461,227,194,4,3,1,0,Drone 1,weighted_coverage,auto_explore
4.8,30.125,23.575,34.69,482,244,196,5,4,1,0,Drone 1,weighted_coverage,auto_explore
5.35,31.312,24.927,34.69,501,258,196,5,4,1,0,Drone 1,weighted_coverage,auto_explore
5.9,32.438,25.894,34.867,519,268,197,5,4,1,0,Drone 1,weighted_coverage,auto_explore
6.45,34.25,27.633,36.991,548,286,209,6,4,1,0,Drone 1,weighted_coverage,auto_explore
7.0,35.688,29.275,37.699,571,303,213,5,4,1,0,Drone 1,weighted_coverage,auto_explore
7.55,37.0,30.918,38.053,592,320,215,5,4,1,0,Drone 1,weighted_coverage,auto_explore
8.1,38.625,33.043,38.053,618,342,215,6,4,1,0,Drone 1,weighted_coverage,auto_explore
8.6,39.375,33.913,38.053,630,351,215,5,4,1,0,Drone 1,weighted_coverage,auto_explore
9.1,40.688,35.652,38.053,651,369,215,5,4,1,0,Drone 1,weighted_coverage,auto_explore
9.6,42.375,37.778,38.053,678,391,215,4,4,1,0,Drone 1,weighted_coverage,auto_explore
10.1,43.938,39.614,38.053,703,410,215,4,4,1,0,Drone 1,weighted_coverage,auto_explore
10.6,45.938,40.87,40.885,735,423,231,4,4,1,0,Drone 1,weighted_coverage,auto_explore
11.1,47.125,42.416,41.239,754,439,233,6,4,1,0,Drone 1,weighted_coverage,auto_explore
11.6,48.188,43.672,41.239,771,452,233,6,4,1,0,Drone 1,weighted_coverage,auto_explore
12.1,49.188,44.831,41.77,787,464,236,6,4,1,0,Drone 1,weighted_coverage,auto_explore
12.6,49.938,45.507,42.124,799,471,238,6,4,1,0,Drone 1,weighted_coverage,auto_explore
13.1,50.813,46.667,42.124,813,483,238,6,4,1,0,Drone 1,weighted_coverage,auto_explore
13.6,51.313,47.15,42.478,821,488,240,6,4,1,0,Drone 1,weighted_coverage,auto_explore
14.1,53.125,48.502,44.779,850,502,253,6,4,1,0,Drone 1,weighted_coverage,auto_explore
14.6,54.875,49.662,47.257,878,514,267,6,4,1,0,Drone 1,weighted_coverage,auto_explore
15.1,55.625,50.435,47.257,890,522,267,6,4,1,0,Drone 1,weighted_coverage,auto_explore
15.6,56.688,51.014,48.142,907,528,272,8,4,1,0,Drone 1,weighted_coverage,auto_explore
16.1,57.625,51.691,49.911,922,535,282,8,4,1,0,Drone 1,weighted_coverage,auto_explore
16.6,58.688,52.174,52.035,939,540,294,8,4,1,0,Drone 1,weighted_coverage,auto_explore
17.1,59.188,52.85,52.035,947,547,294,8,4,1,0,Drone 1,weighted_coverage,auto_explore
17.6,59.5,53.237,52.035,952,551,294,8,4,1,0,Drone 1,weighted_coverage,auto_explore
18.1,60.0,53.913,52.035,960,558,294,8,4,1,0,Drone 1,weighted_coverage,auto_explore
18.6,61.25,55.556,52.035,980,575,294,7,4,1,0,Drone 1,weighted_coverage,auto_explore
19.1,61.625,55.942,52.035,986,579,294,7,4,1,0,Drone 1,weighted_coverage,auto_explore
19.6,62.438,56.618,52.92,999,586,299,7,4,1,0,Drone 1,weighted_coverage,auto_explore
20.1,62.813,57.198,52.92,1005,592,299,7,4,1,0,Drone 1,weighted_coverage,auto_explore
20.6,63.188,57.681,52.92,1011,597,299,7,4,1,0,Drone 1,weighted_coverage,auto_explore
21.1,63.562,58.164,52.92,1017,602,299,7,4,1,0,Drone 1,weighted_coverage,auto_explore
21.6,64.312,58.454,53.628,1029,605,303,9,4,1,0,Drone 1,weighted_coverage,auto_explore
22.1,64.688,58.841,53.805,1035,609,304,9,4,1,0,Drone 1,weighted_coverage,auto_explore
22.6,65.375,59.227,54.69,1046,613,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
23.1,65.688,59.613,54.69,1051,617,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
23.6,66.25,60.29,54.69,1060,624,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
24.1,66.75,60.87,54.69,1068,630,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
24.6,67.062,61.256,54.69,1073,634,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
25.1,68.0,62.416,54.69,1088,646,309,8,4,1,0,Drone 1,weighted_coverage,auto_explore
25.6,68.812,63.478,54.69,1101,657,309,9,4,1,0,Drone 1,weighted_coverage,auto_explore
26.1,69.875,64.348,55.752,1118,666,315,9,4,1,0,Drone 1,weighted_coverage,auto_explore
26.6,70.5,65.121,55.752,1128,674,315,9,4,1,0,Drone 1,weighted_coverage,auto_explore
27.1,71.062,65.314,56.283,1137,676,318,10,4,1,0,Drone 1,weighted_coverage,auto_explore
