event_index,time_s,event,robot,message,details_json
1,0.0,run_started,,Started run_001_seed_124_20260401_030110,"{""auto_policy"": ""weighted_coverage"", ""mission_mode"": ""manual_click"", ""seed"": 124}"
2,0.0,mission_mode_changed,,Mission mode set to auto explore,
3,0.0,auto_mode_toggled,,Simulation started,"{""auto_mode"": true}"
4,0.05,goal_assigned,Drone 1,"Assigned coverage-fill goal at (25.50, 8.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 25.5, ""goal_y"": 8.5, ""score"": null}"
5,0.05,replan,Drone 1,Replanned path with 2 points (goal update),"{""path_length"": 4.675}"
6,0.05,goal_assigned,Drone 2,"Assigned coverage-fill goal at (20.50, 10.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 20.5, ""goal_y"": 10.5, ""score"": null}"
7,0.05,replan,Drone 2,Replanned path with 2 points (goal update),"{""path_length"": 5.508}"
8,0.05,goal_assigned,Drone 3,"Assigned coverage-fill goal at (19.50, 10.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 19.5, ""goal_y"": 10.5, ""score"": null}"
9,0.05,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 5.508}"
10,0.05,goal_assigned,Drone 4,"Assigned coverage-fill goal at (15.50, 8.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 15.5, ""goal_y"": 8.5, ""score"": null}"
11,0.05,replan,Drone 4,Replanned path with 2 points (goal update),"{""path_length"": 4.082}"
12,1.55,replan,Drone 1,Replanned path with 2 points (goal blocked),"{""path_length"": 3.239}"
13,3.1,goal_assigned,Drone 1,"Assigned coverage-fill goal at (23.50, 7.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 23.5, ""goal_y"": 7.5, ""score"": null}"
14,3.1,replan,Drone 1,Replanned path with 2 points (goal update),"{""path_length"": 0.893}"
15,3.1,goal_reached,Drone 1,"Reached coverage-fill at (23.50, 7.50)",
16,3.15,goal_assigned,Drone 1,"Assigned coverage-frontier goal at (30.50, 12.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 30.5, ""goal_y"": 12.5, ""score"": -36.3689}"
17,3.15,replan,Drone 1,Replanned path with 3 points (goal update),"{""path_length"": 8.982}"
18,3.3,replan,Drone 4,Replanned path with 2 points (goal update),"{""path_length"": 0.963}"
19,3.35,replan,Drone 4,Replanned path with 2 points (goal update),"{""path_length"": 0.914}"
20,3.35,goal_reached,Drone 4,"Reached coverage-fill at (15.50, 8.50)",
