time_seconds,known_ratio,free_coverage_ratio,occupied_recall_ratio,known_cells,covered_free_cells,mapped_occupied_cells,frontier_count,active_goals,running,auto_finished,selected_robot,auto_policy,mission_mode
0.0,0.1075,0.015459,0.276106,172,16,156,1,0,0,0,Drone 1,weighted_coverage,manual_click
0.0,0.1075,0.015459,0.276106,172,16,156,1,0,0,0,Drone 1,weighted_coverage,auto_explore
0.55,0.21,0.114976,0.334513,336,119,189,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.05,0.211875,0.117874,0.334513,339,122,189,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.55,0.219375,0.12657,0.334513,351,131,189,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.05,0.225625,0.131401,0.343363,361,136,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.6,0.240625,0.153623,0.343363,385,159,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.15,0.24625,0.161353,0.343363,394,167,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.7,0.258125,0.176812,0.343363,413,183,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
4.25,0.2675,0.18744,0.343363,428,194,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
4.8,0.27625,0.198068,0.346903,442,205,196,3,4,1,0,Drone 1,weighted_coverage,auto_explore
5.35,0.28875,0.21256,0.348673,462,220,197,4,4,1,0,Drone 1,weighted_coverage,auto_explore
5.9,0.3025,0.227053,0.350442,484,235,198,4,4,1,0,Drone 1,weighted_coverage,auto_explore
6.45,0.319375,0.241546,0.364602,511,250,206,5,4,1,0,Drone 1,weighted_coverage,auto_explore
7.0,0.331875,0.257971,0.369912,531,267,209,5,4,1,0,Drone 1,weighted_coverage,auto_explore
7.55,0.348125,0.268599,0.378761,557,278,214,4,4,1,0,Drone 1,weighted_coverage,auto_explore
8.1,0.3675,0.284058,0.4,588,294,226,5,4,1,0,Drone 1,weighted_coverage,auto_explore
8.6,0.378125,0.297585,0.4,605,308,226,4,4,1,0,Drone 1,weighted_coverage,auto_explore
9.1,0.38625,0.30628,0.4,618,317,226,4,4,1,0,Drone 1,weighted_coverage,auto_explore
9.6,0.4,0.313043,0.431858,640,324,244,5,4,1,0,Drone 1,weighted_coverage,auto_explore
10.1,0.408125,0.322705,0.433628,653,334,245,5,4,1,0,Drone 1,weighted_coverage,auto_explore
10.6,0.418125,0.3343,0.433628,669,346,245,5,4,1,0,Drone 1,weighted_coverage,auto_explore
11.1,0.4275,0.344928,0.437168,684,357,247,6,4,1,0,Drone 1,weighted_coverage,auto_explore
11.6,0.444375,0.361353,0.453097,711,374,256,5,4,1,0,Drone 1,weighted_coverage,auto_explore
12.1,0.45625,0.369082,0.470796,730,382,266,5,4,1,0,Drone 1,weighted_coverage,auto_explore
12.6,0.47125,0.384541,0.470796,754,398,266,5,4,1,0,Drone 1,weighted_coverage,auto_explore
